iter	Logloss
0	0.6022091054
1	0.5315055558
2	0.47790083
3	0.4360424266
4	0.4046544786
5	0.380447141
6	0.3617270703
7	0.3470033243
8	0.3357198623
9	0.3268996228
10	0.319978928
11	0.314559138
12	0.3100823344
13	0.3067216497
14	0.304060994
15	0.3009337576
16	0.2987413846
17	0.2970185688
18	0.2957013982
19	0.294574303
20	0.2934931626
21	0.2927745522
22	0.2923305215
23	0.291884223
24	0.2914714693
25	0.2908072309
26	0.2904423559
27	0.2900145463
28	0.2897879983
29	0.2895027922
30	0.2892850569
31	0.2890261082
32	0.2888738639
33	0.2887891236
34	0.2886590595
35	0.2885066809
36	0.288373896
37	0.2882283314
38	0.2880974016
39	0.2879217302
40	0.2878106863
41	0.2877540719
42	0.2876356011
43	0.2875925728
44	0.2875587811
45	0.2875279549
46	0.2874776315
47	0.2874602041
48	0.2874025691
49	0.2873887552
50	0.287257554
51	0.2872428063
52	0.2871330475
53	0.2870356824
54	0.2869969812
55	0.2869380659
56	0.2868714254
57	0.2868065517
58	0.2867488454
59	0.2866566475
60	0.2865503799
61	0.2865455909
62	0.2865361314
63	0.2864933826
64	0.2864172036
65	0.2863429865
66	0.2863134192
67	0.286304894
68	0.2862813182
69	0.286236423
70	0.2862102715
71	0.2861985584
72	0.2861519736
73	0.2861421412
74	0.286111228
75	0.2861031329
76	0.2861031315
77	0.2860870689
78	0.2860815147
79	0.2860598115
80	0.2860547089
81	0.2859791728
82	0.2859724489
83	0.2859379952
84	0.2859261057
85	0.2859187279
86	0.2859152578
87	0.2858872377
88	0.2857847893
89	0.2857724117
90	0.2857576085
91	0.2856507371
92	0.2856448309
93	0.2856427095
94	0.2856319771
95	0.2855846159
96	0.2855688745
97	0.2855675859
98	0.285533477
99	0.2855011385
100	0.2854914587
101	0.2854543265
102	0.2854274876
103	0.2853961431
104	0.2853785655
105	0.2853244712
106	0.2852616648
107	0.2852082674
108	0.2852070993
109	0.2851907161
110	0.2851666619
111	0.2851402149
112	0.2850318575
113	0.2849894374
114	0.2849473576
115	0.2849318071
116	0.2848757783
117	0.2848598907
118	0.2847896669
119	0.2847683836
120	0.2847509006
121	0.2847494342
122	0.2847132662
123	0.2846895474
124	0.2846669167
125	0.2846317373
126	0.2845976319
127	0.284551507
128	0.2845269476
129	0.2844503449
130	0.2843588112
131	0.2843251931
132	0.2842778464
133	0.2842358264
134	0.284217598
135	0.2842024748
136	0.28415266
137	0.2840514661
138	0.2839569919
139	0.2839281758
140	0.2838932347
141	0.2838243162
142	0.2837803587
143	0.2837306017
144	0.2836506181
145	0.2836162388
146	0.2835991956
147	0.2835831591
148	0.2835422198
149	0.2835092505
150	0.2835066566
151	0.283492502
152	0.2834854622
153	0.283467519
154	0.2834499674
155	0.2834280333
156	0.2834246065
157	0.2833364356
158	0.2832786309
159	0.2832301125
160	0.283217934
161	0.2831722618
162	0.2830827903
163	0.2830350481
164	0.2830036558
165	0.282958513
166	0.2829131512
167	0.2828809133
168	0.2828158312
169	0.2827940816
170	0.282775782
171	0.2827490828
172	0.2826916552
173	0.2826619726
174	0.2826614384
175	0.2825982404
176	0.282568371
177	0.2825567729
178	0.2825068112
179	0.28246564
180	0.2824226685
181	0.2823797015
182	0.2823547352
183	0.2823231056
184	0.2823093651
185	0.282267655
186	0.2822169915
187	0.2821627027
188	0.2821518518
189	0.2821263138
190	0.2820977899
191	0.2820320821
192	0.2819608897
193	0.2819498228
194	0.2819401351
195	0.2818798942
196	0.2818545388
197	0.2818384978
198	0.2818066042
199	0.2817721116
200	0.2817622395
201	0.2817137705
202	0.2817049182
203	0.2816749395
204	0.2816597658
205	0.2816326042
206	0.2815960444
207	0.2815674035
208	0.2815044935
209	0.2814770654
210	0.2814677616
211	0.2814302977
212	0.2814037781
213	0.281365354
214	0.2813413526
215	0.281325702
216	0.2812648654
217	0.2812395974
218	0.2812202328
219	0.2811913445
220	0.281184401
221	0.2811587486
222	0.2811259084
223	0.2811009593
224	0.2810906749
225	0.2810729213
226	0.2810672956
227	0.2810555267
228	0.2810223075
229	0.2809837202
230	0.2809673899
231	0.2809370096
232	0.2809103325
233	0.2808800709
234	0.2808313842
235	0.2808065975
236	0.2807728312
237	0.2807557426
238	0.2807505911
239	0.2807436356
240	0.2807295988
241	0.28070055
242	0.2806937955
243	0.2806804471
244	0.2806521051
245	0.2806265859
246	0.2805951849
247	0.2805424332
248	0.2805223775
249	0.2804692439
250	0.2804627617
251	0.2804353888
252	0.2804170175
253	0.2803906144
254	0.2803589398
255	0.2803269461
256	0.28028171
257	0.2802131039
258	0.2802072651
259	0.2801960389
260	0.2801704264
261	0.28015136
262	0.280118859
263	0.2800685079
264	0.2800564743
265	0.280047926
266	0.280016517
267	0.280008111
268	0.2800060946
269	0.2800019773
270	0.2799866497
271	0.2799717511
272	0.2799159229
273	0.2798982489
274	0.279862764
275	0.2798451041
276	0.2798178872
277	0.2797997212
278	0.2797721367
279	0.2797510758
280	0.2797120719
281	0.279685313
282	0.2796589269
283	0.279634261
284	0.2796191186
285	0.2795597689
286	0.2795463262
287	0.2794729467
288	0.2794615761
289	0.2794208414
290	0.2793937441
291	0.279355082
292	0.2793135548
293	0.2792349572
294	0.2792186895
295	0.279202858
296	0.2791832067
297	0.2791619371
298	0.2791515473
299	0.2791310149
300	0.2791174004
301	0.2790916244
302	0.2790819822
303	0.2790144864
304	0.2789751211
305	0.2789428923
306	0.2789379022
307	0.2789335892
308	0.2789159281
309	0.2788802804
310	0.2788755468
311	0.2788558384
312	0.2788467433
313	0.2788112492
314	0.2788051998
315	0.2788012719
316	0.278801079
317	0.2787532707
318	0.2787472081
319	0.2787211257
320	0.2787036813
321	0.2786976105
322	0.2786714046
323	0.2786635308
324	0.2786373509
325	0.2786285297
326	0.2785831211
327	0.278535689
328	0.278516578
329	0.2784998447
330	0.2784502159
331	0.2784387919
332	0.2784114243
333	0.2783921064
334	0.2783819819
335	0.2783519792
336	0.2783340419
337	0.2783138214
338	0.2782877349
339	0.278246233
340	0.2781730733
341	0.2781680258
342	0.2781436786
343	0.2781215125
344	0.2780388118
345	0.278033758
346	0.2780131204
347	0.2779846998
348	0.2779635221
349	0.2779473461
350	0.2779372654
351	0.2779318122
352	0.2779190002
353	0.2778971775
354	0.2778646504
355	0.2778584157
356	0.2778425519
357	0.2778377722
358	0.2778086403
359	0.2777961814
360	0.2777496117
361	0.2776626545
362	0.2776369623
363	0.2775843849
364	0.2775766938
365	0.2775699175
366	0.2775511262
367	0.2775367802
368	0.2775236968
369	0.2774975592
370	0.2774874716
371	0.2774809341
372	0.2774733079
373	0.2774281779
374	0.2774133099
375	0.2774105814
376	0.2773517755
377	0.2773177117
378	0.2772949399
379	0.2772917761
380	0.2772544062
381	0.2772398477
382	0.27718058
383	0.2771723591
384	0.2771318603
385	0.2771083729
386	0.2770949239
387	0.2770712132
388	0.2770635948
389	0.2770222171
390	0.2769564799
391	0.2769453911
392	0.2769405757
393	0.2768977291
394	0.2768676803
395	0.2768451626
396	0.2768205352
397	0.2767922267
398	0.2767729837
399	0.2767395385
400	0.2767212383
401	0.276710376
402	0.2766800902
403	0.2766401099
404	0.2766153679
405	0.2765957271
406	0.27657562
407	0.2765715471
408	0.2765589537
409	0.2764980138
410	0.2764447961
411	0.2764214471
412	0.2764098328
413	0.2764072518
414	0.2763937917
415	0.2763730056
416	0.2763550319
417	0.2763457885
418	0.2763094493
419	0.2762881115
420	0.2762608101
421	0.2762340428
422	0.2762002038
423	0.2761838224
424	0.2761497175
425	0.2761418017
426	0.2761082313
427	0.2760830924
428	0.2760538638
429	0.2760325052
430	0.2760268978
431	0.2760235831
432	0.2760036412
433	0.2759585573
434	0.275876269
435	0.2758680423
436	0.2758297893
437	0.2758165128
438	0.275788204
439	0.2757667812
440	0.2757375472
441	0.2757015732
442	0.2757007154
443	0.275699739
444	0.2756843862
445	0.2756570759
446	0.2756411368
447	0.2756167175
448	0.2756029471
449	0.2755789172
450	0.2755626373
451	0.2755426749
452	0.2755240231
453	0.2755163742
454	0.2754767115
455	0.2754593388
456	0.2754431904
457	0.2754196598
458	0.2754034545
459	0.2753860727
460	0.2753621463
461	0.2753585662
462	0.2753536743
463	0.2753474622
464	0.2753454233
465	0.2753392794
466	0.2753317189
467	0.2753167733
468	0.275302622
469	0.2752805623
470	0.2752599443
471	0.2752203305
472	0.2752019133
473	0.2751956282
474	0.2751929489
475	0.2751857137
476	0.2751772712
477	0.2751443961
478	0.2751341559
479	0.2750790922
480	0.27504517
481	0.2750064493
482	0.2749648097
483	0.2749425359
484	0.2749288312
485	0.2748970093
486	0.2748887731
487	0.2748719088
488	0.2748461485
489	0.2748084884
490	0.2747840249
