iter	Passed	Remaining
0	280	280415
1	473	236341
2	627	208439
3	894	222792
4	1055	210065
5	1134	188005
6	1222	173447
7	1398	173444
8	1510	166372
9	1655	163907
10	1923	172983
11	2063	169927
12	2275	172742
13	2420	170470
14	2535	166519
15	2711	166756
16	2856	165191
17	3016	164591
18	3096	159852
19	3211	157369
20	3374	157321
21	3478	154648
22	3577	151970
23	3728	151605
24	3846	149998
25	4027	150891
26	4118	148419
27	4302	149355
28	4456	149202
29	4611	149089
30	4812	150414
31	4998	151215
32	5167	151418
33	5285	150168
34	5445	150143
35	5600	149961
36	5748	149623
37	6036	152815
38	6231	153547
39	6444	154670
40	6591	154169
41	6800	155105
42	7022	156299
43	7256	157656
44	7460	158324
45	7600	157633
46	7769	157540
47	7849	155680
48	8053	156302
49	8159	155028
50	8390	156123
51	8517	155274
52	8707	155593
53	8881	155589
54	9085	156104
55	9286	156548
56	9477	156792
57	9667	157021
58	9869	157402
59	10084	157984
60	10261	157966
61	10443	158004
62	10532	156652
63	10705	156572
64	10873	156412
65	11042	156272
66	11197	155927
67	11270	154476
68	11442	154391
69	11608	154227
70	11828	154765
71	11977	154379
72	12169	154541
73	12330	154292
74	12490	154047
75	12633	153599
76	12714	152405
77	12862	152043
78	12948	150959
79	13117	150854
80	13278	150649
81	13508	151229
82	13686	151211
83	13862	151168
84	14018	150909
85	14165	150546
86	14284	149903
87	14523	150511
88	14734	150826
89	14972	151386
90	15248	152317
91	15476	152741
92	15650	152638
93	15792	152208
94	15981	152248
95	16151	152092
96	16280	151562
97	16396	150913
98	16561	150721
99	16713	150417
100	16897	150403
101	17067	150258
102	17300	150663
103	17457	150406
104	17620	150194
105	17791	150053
106	17972	149993
107	18156	149960
108	18276	149401
109	18460	149362
110	18605	149009
111	18784	148937
112	18971	148919
113	19148	148823
114	19320	148684
115	19504	148637
116	19664	148406
117	19848	148361
118	20034	148319
119	20254	148535
120	20428	148404
121	20527	147730
122	20692	147538
123	20892	147592
124	21074	147518
125	21232	147276
126	21427	147292
127	21586	147055
128	21749	146850
129	21912	146643
130	22089	146534
131	22244	146271
132	22399	146019
133	22549	145728
134	22725	145614
135	22920	145612
136	23103	145532
137	23279	145409
138	23477	145427
139	23653	145301
140	23864	145389
141	24083	145518
142	24275	145485
143	24450	145343
144	24616	145155
145	24785	144981
146	24982	144968
147	25192	145025
148	25387	144996
149	25550	144787
150	25730	144672
151	25954	144800
152	26153	144786
153	26318	144579
154	26470	144309
155	26691	144406
156	26841	144122
157	27009	143934
158	27193	143835
159	27386	143779
160	27551	143576
161	27745	143522
162	27917	143356
163	28136	143429
164	28327	143356
165	28555	143463
166	28710	143207
167	28864	142948
168	29034	142766
169	29187	142505
170	29323	142159
171	29501	142016
172	29667	141819
173	29814	141533
174	29963	141254
175	30135	141088
176	30307	140921
177	30490	140805
178	30654	140601
179	30824	140420
180	30983	140195
181	31185	140163
182	31362	140017
183	31520	139784
184	31687	139597
185	31876	139504
186	32058	139379
187	32242	139261
188	32429	139154
189	32615	139043
190	32770	138804
191	32964	138723
192	33150	138613
193	33314	138411
194	33494	138273
195	33661	138079
196	33864	138034
197	34049	137917
198	34223	137753
199	34392	137571
200	34602	137550
201	34797	137469
202	35004	137432
203	35186	137295
204	35337	137042
205	35497	136822
206	35658	136603
207	35835	136451
208	35989	136209
209	36172	136076
210	36437	136251
211	36705	136433
212	36887	136292
213	37075	136174
214	37248	136000
215	37420	135823
216	37612	135718
217	37820	135669
218	37984	135461
219	38129	135185
220	38298	134997
221	38453	134761
222	38615	134548
223	38777	134336
224	38956	134181
225	39155	134099
226	39339	133962
227	39494	133727
228	39693	133641
229	39852	133419
230	39999	133160
231	40174	132990
232	40348	132820
233	40518	132635
234	40704	132507
235	40885	132358
236	41065	132206
237	41230	132007
238	41414	131867
239	41580	131670
240	41757	131508
241	41956	131417
242	42140	131277
243	42291	131033
244	42493	130948
245	42644	130707
246	42826	130559
247	42997	130378
248	43144	130125
249	43322	129968
250	43472	129725
251	43641	129538
252	43834	129423
253	44020	129289
254	44209	129160
255	44358	128916
256	44543	128776
257	44724	128626
258	44910	128489
259	45130	128447
260	45308	128286
261	45474	128092
262	45650	127924
263	45849	127822
264	46061	127756
265	46248	127617
266	46426	127456
267	46638	127384
268	46813	127215
269	46975	127006
270	47154	126846
271	47358	126753
272	47527	126565
273	47699	126386
274	47911	126312
275	48107	126195
276	48330	126147
277	48536	126054
278	48684	125811
279	48885	125704
280	49040	125480
281	49202	125274
282	49379	125106
283	49584	125008
284	49766	124852
285	49926	124642
286	50092	124446
287	50281	124306
288	50478	124188
289	50661	124033
290	50884	123977
291	51043	123763
292	51203	123553
293	51398	123426
294	51549	123194
295	51709	122985
296	51880	122801
297	52036	122583
298	52231	122455
299	52406	122281
300	52577	122097
301	52786	122003
302	52978	121868
303	53183	121761
304	53383	121645
305	53550	121450
306	53743	121316
307	53943	121198
308	54105	120993
309	54279	120815
310	54429	120584
311	54610	120422
312	54800	120279
313	54971	120097
314	55173	119979
315	55350	119808
316	55504	119588
317	55660	119372
318	55818	119160
319	56014	119030
320	56207	118893
321	56411	118780
322	56570	118569
323	56739	118383
324	56902	118182
325	57061	117973
326	57218	117761
327	57398	117597
328	57561	117397
329	57728	117206
330	57885	116995
331	58109	116918
332	58275	116726
333	58488	116626
334	58712	116548
335	58917	116431
336	59072	116217
337	59285	116116
338	59511	116037
339	59692	115874
340	59937	115833
341	60148	115725
342	60349	115595
343	60557	115481
344	60721	115282
345	60902	115116
346	61077	114939
347	61260	114776
348	61441	114607
349	61629	114455
350	61807	114281
351	61990	114118
352	62166	113942
353	62347	113774
354	62517	113588
355	62727	113472
356	62901	113293
357	63050	113068
358	63222	112884
359	63410	112730
360	63595	112569
361	63810	112461
362	63992	112294
363	64152	112091
364	64337	111929
365	64519	111763
366	64684	111567
367	64890	111441
368	65062	111258
369	65276	111146
370	65433	110936
371	65618	110775
372	65828	110655
373	66011	110489
374	66196	110327
375	66351	110115
376	66543	109964
377	66728	109801
378	66920	109651
379	67088	109459
380	67291	109325
381	67489	109184
382	67658	108996
383	67805	108771
384	67972	108578
385	68133	108377
386	68302	108189
387	68470	108000
388	68653	107833
389	68817	107638
390	69004	107476
391	69183	107305
392	69336	107092
393	69528	106939
394	69739	106815
395	69930	106662
396	70104	106480
397	70282	106307
398	70476	106155
399	70660	105990
400	70878	105875
401	71071	105723
402	71293	105614
403	71494	105471
404	71661	105280
405	71877	105161
406	72063	104996
407	72271	104865
408	72502	104764
409	72732	104663
410	73068	104713
411	73275	104577
412	73438	104378
413	73613	104196
414	73800	104032
415	73989	103869
416	74209	103750
417	74433	103637
418	74670	103540
419	74884	103412
420	75087	103266
421	75434	103320
422	75678	103230
423	75862	103058
424	76059	102903
425	76241	102729
426	76439	102575
427	76629	102410
428	76830	102261
429	77044	102128
430	77241	101973
431	77437	101815
432	77631	101656
433	77820	101489
434	78030	101350
435	78286	101269
436	78494	101127
437	78769	101069
438	78979	100928
439	79177	100770
440	79420	100670
441	79652	100556
442	79953	100528
443	80169	100392
444	80381	100251
445	80554	100061
446	80736	99881
447	80938	99727
448	81128	99558
449	81341	99417
450	81532	99248
451	81716	99071
452	81895	98889
453	82073	98704
454	82256	98527
455	82448	98359
456	82628	98178
457	82818	98008
458	82981	97805
459	83157	97619
460	83367	97473
461	83556	97301
462	83740	97124
463	83918	96940
464	84097	96757
465	84305	96607
466	84530	96477
467	84701	96284
468	84883	96104
469	85059	95917
470	85224	95719
471	85411	95544
472	85596	95368
473	85745	95152
474	85932	94977
475	86087	94768
476	86274	94594
477	86426	94381
478	86603	94197
479	86774	94005
480	86950	93819
481	87163	93674
482	87374	93524
483	87534	93322
484	87711	93136
485	87884	92947
486	88055	92756
487	88230	92569
488	88390	92367
489	88547	92161
490	88735	91988
491	88898	91789
492	89070	91599
493	89249	91417
494	89436	91243
495	89617	91062
496	89802	90886
497	89994	90717
498	90180	90542
499	90399	90399
500	90617	90255
501	90820	90096
502	91021	89935
503	91203	89755
504	91390	89581
505	91581	89409
506	91754	89221
507	91986	89089
508	92284	89021
509	92499	88871
510	92699	88708
511	92881	88527
512	93065	88348
513	93281	88199
514	93454	88010
515	93669	87860
516	93850	87678
517	94062	87525
518	94219	87321
519	94423	87159
520	94591	86965
521	94757	86770
522	94979	86625
523	95171	86453
524	95334	86254
525	95508	86066
526	95659	85857
527	95866	85698
528	96042	85511
529	96215	85323
530	96398	85143
531	96596	84976
532	96781	84797
533	96940	84596
534	97137	84428
535	97319	84246
536	97522	84084
537	97680	83882
538	97828	83671
539	97992	83474
540	98165	83286
541	98330	83090
542	98494	82894
543	98657	82698
544	98848	82524
545	99015	82331
546	99204	82156
547	99439	82019
548	99626	81842
549	99819	81670
550	100042	81522
551	100211	81331
552	100359	81122
553	100530	80932
554	100751	80782
555	100915	80587
556	101116	80421
557	101317	80254
558	101490	80067
559	101642	79861
560	101836	79690
561	102008	79501
562	102177	79310
563	102344	79117
564	102529	78938
565	102733	78774
566	102926	78601
567	103078	78397
568	103235	78197
569	103416	78015
570	103607	77841
571	103818	77682
572	103989	77493
573	104202	77334
574	104401	77166
575	104556	76964
576	104735	76782
577	104918	76601
578	105091	76413
579	105254	76219
580	105459	76054
581	105629	75864
582	105790	75667
583	105970	75486
584	106163	75312
585	106345	75131
586	106521	74946
587	106755	74801
588	106945	74626
589	107144	74456
590	107353	74293
591	107590	74150
592	107803	73989
593	107983	73806
594	108186	73639
595	108354	73448
596	108520	73255
597	108688	73064
598	108850	72869
599	108998	72665
600	109175	72481
601	109326	72279
602	109511	72099
603	109700	71923
604	109898	71752
605	110077	71568
606	110286	71404
607	110437	71203
608	110651	71042
609	110848	70870
610	111079	70719
611	111250	70531
612	111450	70360
613	111663	70198
614	111847	70018
615	112021	69831
616	112186	69639
617	112385	69467
618	112577	69292
619	112755	69107
620	112924	68918
621	113141	68758
622	113354	68595
623	113551	68421
624	113731	68238
625	113951	68079
626	114137	67900
627	114336	67728
628	114502	67536
629	114675	67349
630	114839	67156
631	115017	66972
632	115243	66815
633	115433	66638
634	115605	66450
635	115769	66258
636	115950	66075
637	116127	65890
638	116354	65734
639	116544	65556
640	116723	65372
641	116948	65213
642	117112	65022
643	117321	64854
644	117525	64684
645	117682	64488
646	117869	64308
647	118058	64130
648	118218	63936
649	118419	63764
650	118622	63593
651	118789	63402
652	118950	63209
653	119169	63046
654	119342	62859
655	119510	62670
656	119711	62497
657	119892	62314
658	120071	62131
659	120244	61944
660	120826	61967
661	121080	61820
662	121330	61671
663	121520	61492
664	121724	61320
665	121943	61154
666	122170	60993
667	122411	60839
668	122656	60686
669	122925	60545
670	123177	60395
671	123410	60235
672	123613	60061
673	123840	59899
674	124099	59751
675	124324	59587
676	124553	59424
677	124847	59293
678	125083	59133
679	125386	59005
680	125752	58906
681	126008	58754
682	126261	58601
683	126514	58448
684	126743	58283
685	126957	58111
686	127208	57956
687	127453	57798
688	127712	57646
689	127977	57497
690	128278	57363
691	128531	57207
692	128774	57047
693	129043	56897
694	129283	56736
695	129556	56588
696	129795	56424
697	130015	56253
698	130241	56084
699	130467	55914
700	130757	55772
701	131150	55673
702	131511	55560
703	131794	55413
704	132017	55241
705	132486	55171
706	132751	55015
707	132962	54837
708	133182	54663
709	133356	54469
710	133555	54286
711	133758	54104
712	133954	53920
713	134148	53734
714	134395	53570
715	134574	53378
716	134798	53204
717	135021	53030
718	135240	52854
719	135430	52667
720	135677	52502
721	135876	52318
722	136076	52134
723	136316	51965
724	136539	51790
725	136781	51622
726	137006	51448
727	137258	51283
728	137498	51113
729	137698	50929
730	137867	50733
731	138073	50551
732	138301	50377
733	138494	50189
734	138692	50004
735	138869	49811
736	139085	49632
737	139353	49472
738	139577	49295
739	139764	49106
740	139969	48923
741	140159	48734
742	140372	48554
743	140556	48363
744	140745	48174
745	140961	47994
746	141175	47814
747	141354	47622
748	141544	47433
749	141734	47244
750	141938	47060
751	142123	46870
752	142298	46677
753	142493	46490
754	142694	46304
755	142876	46113
756	143072	45926
757	143257	45736
758	143430	45542
759	143635	45358
760	143813	45166
761	144006	44978
762	144182	44785
763	144361	44593
764	144547	44403
765	144727	44211
766	144916	44022
767	145095	43830
768	145273	43638
769	145466	43451
770	145661	43263
771	145826	43068
772	145995	42873
773	146191	42686
774	146456	42519
775	146686	42342
776	146882	42155
777	147164	41992
778	147417	41821
779	147610	41633
780	147784	41440
781	147967	41249
782	148168	41063
783	148359	40874
784	148527	40679
785	148693	40483
786	148879	40294
787	149105	40114
788	149290	39924
789	149529	39748
790	149743	39565
791	149957	39382
792	150172	39200
793	150370	39012
794	150599	38833
795	150809	38649
796	150985	38456
797	151178	38268
798	151363	38077
799	151538	37884
800	151735	37696
801	151897	37500
802	152091	37312
803	152312	37130
804	152503	36941
805	152756	36767
806	152934	36575
807	153173	36397
808	153393	36215
809	153588	36027
810	153762	35833
811	153929	35638
812	154124	35450
813	154322	35262
814	154524	35076
815	154763	34897
816	154977	34713
817	155164	34523
818	155371	34337
819	155564	34148
820	155789	33966
821	156024	33786
822	156199	33593
823	156389	33403
824	156565	33210
825	156743	33018
826	156916	32825
827	157100	32634
828	157322	32451
829	157507	32260
830	157717	32075
831	157897	31883
832	158096	31695
833	158298	31507
834	158516	31323
835	158715	31135
836	158962	30956
837	159213	30778
838	159366	30581
839	159562	30392
840	159745	30201
841	159931	30010
842	160128	29822
843	160349	29638
844	160568	29453
845	160753	29262
846	160960	29075
847	161175	28890
848	161354	28697
849	161565	28511
850	161798	28328
851	161990	28139
852	162183	27949
853	162356	27756
854	162578	27571
855	162773	27382
856	162969	27193
857	163175	27005
858	163352	26813
859	163516	26618
860	163731	26432
861	163901	26239
862	164078	26047
863	164252	25854
864	164420	25660
865	164570	25464
866	164762	25274
867	164938	25082
868	165125	24892
869	165340	24705
870	165507	24512
871	165685	24320
872	165872	24130
873	166053	23939
874	166231	23747
875	166434	23559
876	166664	23374
877	166841	23182
878	167002	22989
879	167163	22795
880	167374	22607
881	167565	22418
882	167746	22226
883	167927	22035
884	168131	21847
885	168346	21660
886	168501	21466
887	168663	21272
888	168853	21082
889	169065	20895
890	169250	20705
891	169459	20517
892	169643	20326
893	169822	20135
894	170023	19946
895	170189	19754
896	170354	19561
897	170525	19369
898	170705	19178
899	170916	18990
900	171106	18800
901	171309	18612
902	171495	18422
903	171687	18232
904	171868	18041
905	172053	17851
906	172241	17660
907	172480	17476
908	172891	17308
909	173138	17123
910	173323	16932
911	173505	16741
912	173666	16548
913	173870	16359
914	174061	16169
915	174257	15979
916	174425	15787
917	174670	15602
918	174870	15412
919	175101	15226
920	175290	15035
921	175452	14843
922	175632	14651
923	175809	14460
924	175993	14269
925	176166	14078
926	176338	13886
927	176525	13695
928	176690	13503
929	176894	13314
930	177109	13126
931	177308	12936
932	177526	12748
933	177705	12557
934	177945	12370
935	178150	12181
936	178332	11990
937	178510	11799
938	178685	11607
939	178859	11416
940	179038	11225
941	179224	11035
942	179439	10846
943	179643	10656
944	179814	10465
945	179997	10274
946	180196	10084
947	180418	9896
948	180629	9707
949	180792	9515
950	180968	9324
951	181167	9134
952	181337	8943
953	181507	8751
954	181705	8562
955	181918	8372
956	182109	8182
957	182269	7990
958	182495	7802
959	182692	7612
960	182850	7420
961	183060	7231
962	183252	7040
963	183426	6849
964	183579	6658
965	183772	6468
966	183941	6277
967	184165	6088
968	184387	5898
969	184562	5708
970	184743	5517
971	184911	5326
972	185078	5135
973	185289	4946
974	185467	4755
975	185667	4565
976	185829	4374
977	186038	4184
978	186223	3994
979	186450	3805
980	186678	3615
981	186922	3426
982	187139	3236
983	187389	3046
984	187604	2856
985	187848	2667
986	188055	2476
987	188249	2286
988	188445	2095
989	188644	1905
990	188843	1715
991	189017	1524
992	189246	1334
993	189497	1143
994	189699	953
995	189906	762
996	190126	572
997	190356	381
998	190549	190
999	190751	0
